Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_423.jpg;0;0;1;0.05670088;112.6657;39.60216;358.6521;269.5712;359.9224
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_489.jpg;0;0;1;-0.04494717;112.667;39.60215;358.7648;269.5717;359.8996
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_557.jpg;0;0;1;-0.05184026;112.668;39.60225;359.0193;269.5732;359.9389
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_624.jpg;0;0;1;-0.05777334;112.668;39.60234;359.2139;269.5735;359.9477
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_689.jpg;0;0;1;-0.0583236;112.668;39.60243;359.4093;269.5739;359.9567
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_757.jpg;0;0;1;-0.05742732;112.668;39.60254;359.6648;269.5741;359.9689
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_824.jpg;0;0;1;-0.05550471;112.668;39.6026;359.8481;269.5742;359.9779
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_889.jpg;0;0;1;-0.0515307;112.668;39.60268;0.0211338;269.5743;359.9865
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_31_956.jpg;0;0;1;-0.04764825;112.668;39.60276;0.2312501;269.5743;-0.002786334
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_023.jpg;0;0;0;-0.04313536;112.668;39.60281;0.3707621;269.5742;0.004507041
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_089.jpg;0;0;0;-0.0363651;112.668;39.60285;0.4930193;269.5742;0.01107728
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_156.jpg;0;0;0;-0.03089552;112.668;39.6029;0.6224133;269.5739;0.01344034
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_223.jpg;0;0;0;-0.02218046;112.668;39.60292;0.689757;269.5739;0.006158232
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_288.jpg;0;0;0;-0.01425461;112.668;39.60294;0.734544;269.5746;-0.001868574
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_357.jpg;0;0;0;0;112.668;39.60295;0.7619804;269.5747;-0.004061488
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_423.jpg;0;0;0;0;112.668;39.60295;0.7618102;269.5747;-0.003087403
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_490.jpg;0;0;0;0;112.668;39.60294;0.7458484;269.5747;-0.0008304109
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_556.jpg;-3.005652;0;0;0;112.668;39.60293;0.7040499;269.0318;0.007511116
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_32_624.jpg;-5.962015;0;0;0.01208821;112.668;39.60291;0.6595105;268.0479;0.01875558
